Date,Name,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-
20151027,Mo Williams,Cle,37.09,7,15,.467,3,7,.429,2,3,.667,0,4,4,7,1,1,1,2,19,+5
20151027,LeBron James,Cle,36.04,12,22,.545,1,5,.200,0,3,.000,0,10,10,5,1,0,1,3,25,+1
20151027,Kevin Love,Cle,34.49,6,17,.353,3,7,.429,3,3,1.000,4,4,8,4,0,2,2,0,18,+1
20151027,J.R. Smith,Cle,30.27,3,10,.300,0,2,.000,2,4,.500,1,4,5,3,1,0,0,4,8,0
20151027,Timofey Mozgov,Cle,20.54,2,6,.333,0,0,0,1,2,.500,2,3,5,2,0,2,3,2,5,-1
20151027,Tristan Thompson,Cle,24.55,1,4,.250,0,0,0,0,0,0,2,10,12,0,1,0,1,4,2,-6
20151027,Matthew Dellavedova,Cle,20.12,3,8,.375,0,2,.000,0,0,0,1,3,4,4,0,0,1,1,6,+1
20151027,Richard Jefferson,Cle,16.57,4,7,.571,2,4,.500,0,0,0,0,0,0,1,1,0,1,3,10,-5
20151027,Anderson Varejão,Cle,11.33,0,1,.000,0,0,0,2,2,1.000,1,1,2,0,0,1,0,1,2,+9
20151027,James Jones,Cle,3.49,0,2,.000,0,2,.000,0,0,0,0,0,0,0,0,1,0,1,0,-7
20151027,Jared Cunningham,Cle,3.11,0,2,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
20151027,Jimmy Butler,Chi,36.38,6,14,.429,0,2,.000,5,5,1.000,1,4,5,2,2,1,0,1,17,+3
20151027,Derrick Rose,Chi,32.28,8,22,.364,0,2,.000,2,4,.500,0,1,1,5,1,0,2,0,18,-1
20151027,Pau Gasol,Chi,31.33,1,7,.143,0,1,.000,0,0,0,0,2,2,0,1,6,0,1,2,-8
20151027,Tony Snell,Chi,28.48,4,9,.444,2,5,.400,1,2,.500,0,2,2,0,0,0,1,4,11,-1
20151027,Nikola Mirotić,Chi,25.14,6,11,.545,3,4,.750,4,4,1.000,2,7,9,1,1,0,4,5,19,+9
20151027,Taj Gibson,Chi,22.06,1,3,.333,0,0,0,3,4,.750,2,8,10,0,0,3,3,6,5,+2
20151027,Joakim Noah,Chi,17.07,0,0,0,0,0,0,0,2,.000,2,7,9,4,1,0,1,1,0,+1
20151027,Doug McDermott,Chi,16.12,3,4,.750,1,2,.500,1,2,.500,0,4,4,0,0,0,0,0,8,-2
20151027,Aaron Brooks,Chi,15.32,3,9,.333,0,1,.000,0,0,0,0,2,2,0,0,0,2,1,6,+3
20151027,E'Twaun Moore,Chi,14.22,5,8,.625,1,2,.500,0,0,0,0,3,3,1,0,0,0,3,11,+4
20151027,Andre Drummond,Det,37.09,6,16,.375,0,0,0,6,10,.600,8,11,19,3,1,2,2,4,18,+23
20151027,Marcus Morris,Det,37.05,6,19,.316,1,4,.250,5,6,.833,5,5,10,4,0,0,0,1,18,+17
20151027,Kentavious Caldwell-Pope,Det,37.03,7,14,.500,4,7,.571,3,3,1.000,1,3,4,1,1,0,2,1,21,+17
20151027,Ersan İlyasova,Det,34.26,6,12,.500,3,6,.500,1,2,.500,3,4,7,3,0,1,3,4,16,+20
20151027,Reggie Jackson,Det,32.07,4,10,.400,2,4,.500,5,5,1.000,1,7,8,5,2,0,2,0,15,+26
20151027,Stanley Johnson,Det,24.29,3,10,.300,1,3,.333,0,0,0,3,1,4,3,0,0,1,1,7,-13
20151027,Steve Blake,Det,15.53,1,6,.167,1,5,.200,0,0,0,0,0,0,4,1,0,3,1,3,-14
20151027,Jodie Meeks,Det,10.57,1,4,.250,0,0,0,0,0,0,1,1,2,0,0,0,1,1,2,-5
20151027,Aron Baynes,Det,10.51,3,5,.600,0,0,0,0,0,0,1,4,5,0,0,0,1,2,6,-11
20151027,Paul Millsap,Atl,36.00,7,15,.467,2,6,.333,3,4,.750,1,7,8,3,0,0,2,4,19,-22
20151027,Jeff Teague,Atl,31.52,7,16,.438,1,3,.333,3,4,.750,0,2,2,4,0,0,5,1,18,-23
20151027,Al Horford,Atl,30.14,6,11,.545,1,3,.333,2,3,.667,1,3,4,4,2,3,1,1,15,-5
20151027,Kyle Korver,Atl,28.42,3,9,.333,1,5,.200,0,0,0,0,2,2,1,1,0,1,4,7,-9
20151027,Kent Bazemore,Atl,20.50,0,3,.000,0,1,.000,0,0,0,0,7,7,1,0,0,4,3,0,-17
20151027,Dennis Schröder,Atl,25.22,8,14,.571,2,5,.400,2,2,1.000,1,2,3,4,2,0,1,1,20,+4
20151027,Thabo Sefolosha,Atl,18.56,1,3,.333,0,1,.000,0,0,0,1,6,7,3,4,0,0,1,2,-1
20151027,Lamar Patterson,Atl,18.18,1,1,1.000,1,1,1.000,2,2,1.000,0,1,1,2,0,0,0,4,5,+10
20151027,Tiago Splitter,Atl,16.18,2,5,.400,0,0,0,0,0,0,3,1,4,0,0,1,0,4,4,-3
20151027,Mike Muscala,Atl,7.59,0,1,.000,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,+5
20151027,Mike Scott,Atl,5.29,2,4,.500,0,2,.000,0,0,0,0,1,1,0,0,0,0,0,4,+1
20151027,Anthony Davis,Nor,34.31,4,20,.200,0,2,.000,10,15,.667,1,5,6,2,0,3,5,4,18,-16
20151027,Eric Gordon,Nor,33.29,5,17,.294,2,7,.286,2,2,1.000,0,4,4,4,1,0,4,1,14,-9
20151027,Dante Cunningham,Nor,26.31,5,8,.625,2,3,.667,1,1,1.000,1,1,2,0,0,0,0,2,13,-15
20151027,Nate Robinson,Nor,19.03,0,1,.000,0,1,.000,0,0,0,0,0,0,3,1,0,0,5,0,-21
20151027,Kendrick Perkins,Nor,15.53,5,5,1.000,0,0,0,0,0,0,0,4,4,1,0,0,0,1,10,-12
20151027,Ish Smith,Nor,38.01,7,13,.538,1,2,.500,2,4,.500,1,1,2,9,3,0,2,5,17,+5
20151027,Ryan Anderson,Nor,28.40,2,7,.286,1,3,.333,4,5,.800,2,4,6,1,1,0,3,2,9,-8
20151027,Alonzo Gee,Nor,26.56,4,5,.800,0,0,0,0,0,0,0,5,5,1,3,0,3,3,8,-8
20151027,Alexis Ajinça,Nor,16.56,3,7,.429,0,0,0,0,0,0,3,1,4,0,0,0,1,3,6,+4
20151027,Stephen Curry,GSW,35.37,14,26,.538,5,12,.417,7,7,1.000,3,3,6,7,2,0,2,1,40,+12
20151027,Harrison Barnes,GSW,32.42,3,12,.250,1,5,.200,1,2,.500,5,4,9,3,1,0,1,3,8,+17
20151027,Draymond Green,GSW,29.26,3,12,.250,2,5,.400,2,2,1.000,3,5,8,2,1,0,1,5,10,+20
20151027,Klay Thompson,GSW,26.26,3,8,.375,0,2,.000,3,3,1.000,0,5,5,3,1,1,7,5,9,+4
20151027,Andrew Bogut,GSW,18.42,6,6,1.000,0,0,0,0,0,0,1,4,5,5,0,2,0,2,12,+17
20151027,Andre Iguodala,GSW,23.23,1,3,.333,0,1,.000,0,0,0,1,4,5,3,1,0,1,2,2,+1
20151027,Shaun Livingston,GSW,21.20,3,6,.500,0,2,.000,0,0,0,0,3,3,2,0,1,0,1,6,+12
20151027,Leandro Barbosa,GSW,20.30,0,6,.000,0,2,.000,0,0,0,1,5,6,2,0,1,3,3,0,-3
20151027,Festus Ezeli,GSW,17.01,6,10,.600,0,0,0,1,2,.500,3,1,4,1,1,1,1,2,13,-7
20151027,Marreese Speights,GSW,10.42,2,7,.286,1,1,1.000,4,4,1.000,4,1,5,1,0,1,2,1,9,+2
20151027,James Michael McAdoo,GSW,2.31,0,0,0,0,0,0,2,2,1.000,0,0,0,0,1,0,2,4,2,+2
20151027,Brandon Rush,GSW,1.40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+3
20151028,John Wall,Was,39.23,9,18,.500,2,6,.333,2,6,.333,1,6,7,6,3,5,6,3,22,+10
20151028,Bradley Beal,Was,37.36,9,19,.474,2,8,.250,4,7,.571,3,3,6,0,0,1,4,2,24,+4
