PG,SG,SF,PF,C,G,F,UTIL,Date,Score,Genetic
Dennis Schroder,Kentavious Caldwell-Pope,Thabo Sefolosha,Ersan Ilyasova,Andre Drummond,Stephen Curry,Marcus Morris,LeBron James,20151027,322.5,322.5
CJ McCollum,DeMar DeRozan,Danilo Gallinari,Greg Monroe,Jonas Valanciunas,Ricky Rubio,Kawhi Leonard,Derrick Williams,20151028,381.25,372.5
Beno Udrih,John Jenkins,Paul George,Kyle OQuinn,Al Horford,Jeff Teague,Paul Millsap,Blake Griffin,20151029,296.0,287.0
Russell Westbrook,Evan Fournier,Kevin Durant,Marvin Williams,Willie Cauley-Stein,Victor Oladipo,Kevin Love,Karl-Anthony Towns,20151030,431.0,379.25
Toney Douglas,Eric Bledsoe,Al-Farouq Aminu,Drew Gooden,DeAndre Jordan,Rajon Rondo,Carmelo Anthony,Stephen Curry,20151031,387.0,355.0
Marcus Smart,Kent Bazemore,Nicolas Batum,Julius Randle,Hassan Whiteside,Kyle Lowry,Paul Millsap,LaMarcus Aldridge,20151101,356.0,356.0
TJ McConnell,James Harden,Kawhi Leonard,Kristaps Porzingis,Festus Ezeli,Ty Lawson,Tim Duncan,LeBron James,20151102,367.5,345.5
Jordan Clarkson,Evan Fournier,Danilo Gallinari,Luis Scola,Hassan Whiteside,Kyle Lowry,Kenneth Faried,Andre Drummond,20151103,393.75,387.0
Isaiah Thomas,Bradley Beal,Evan Fournier,Blake Griffin,Mason Plumlee,TJ McConnell,Paul George,Brook Lopez,20151104,355.0,346.5
Derrick Rose,Jimmy Butler,Al-Farouq Aminu,Trevor Booker,Al Jefferson,Dwyane Wade,Marvin Williams,Kevin Durant,20151105,329.5,315.0
Jarrett Jack,Kyle Korver,Jae Crowder,Clint Capela,Kelly Olynyk,Stephen Curry,Paul George,James Harden,20151106,427.0,395.5
Isaiah Canaan,James Harden,Andrew Wiggins,Nemanja Bjelica,Dwight Howard,Jerryd Bayless,Blake Griffin,Rajon Rondo,20151107,394.25,384.25
Mario Chalmers,Dion Waiters,Kevin Durant,Tristan Thompson,Roy Hibbert,Reggie Jackson,Kevin Love,Andre Drummond,20151108,378.25,369.0
George Hill,Kent Bazemore,Andrew Wiggins,JJ Hickson,Jahlil Okafor,Jeff Teague,Zach Randolph,Andre Drummond,20151109,351.0,327.75
Cory Joseph,Evan Turner,LeBron James,Ryan Anderson,Karl-Anthony Towns,Zach LaVine,Chris Bosh,Kyle Lowry,20151110,349.25,337.75
Emmanuel Mudiay,Marcus Thornton,Bojan Bogdanovic,Dirk Nowitzki,Dwight Howard,Rajon Rondo,Joe Johnson,Paul Millsap,20151111,376.75,359.0
Stephen Curry,Tyler Johnson,Gordon Hayward,Jon Leuer,Andrew Bogut,Eric Bledsoe,Draymond Green,Derrick Favors,20151112,370.25,370.25
Zach LaVine,Monta Ellis,Nicolas Batum,Amir Johnson,DeMarcus Cousins,Isaiah Thomas,Tobias Harris,Rajon Rondo,20151113,403.0,384.25
