PG,SG,SF,PF,C,G,F,UTIL,Date,Salary,FPTS
Dennis Schroder,Kentavious Caldwell-Pope,Thabo Sefolosha,Ersan Ilyasova,Andre Drummond,Stephen Curry,Marcus Morris,LeBron James,20151027,49800,322.5
Ricky Rubio,Bradley Beal,Danilo Gallinari,Greg Monroe,Jahlil Okafor,CJ McCollum,Kawhi Leonard,Jonas Valanciunas,20151028,49800,372.5
Jeff Teague,CJ Miles,Carmelo Anthony,Blake Griffin,Al Horford,Kyle Korver,Kyle OQuinn,John Jenkins,20151029,47900,287.0
Reggie Jackson,Victor Oladipo,TJ Warren,Anthony Tolliver,Karl-Anthony Towns,Russell Westbrook,Marcus Morris,Kevin Love,20151030,49600,379.25
Stephen Curry,Langston Galloway,Carmelo Anthony,Drew Gooden,Willie Cauley-Stein,Mike Conley,Rudy Gay,Brandon Knight,20151031,49600,355.0
Marcus Smart,Kent Bazemore,Nicolas Batum,Julius Randle,Hassan Whiteside,Kyle Lowry,Paul Millsap,LaMarcus Aldridge,20151101,49300,356.0
Russell Westbrook,Khris Middleton,LeBron James,Kristaps Porzingis,Tyson Chandler,TJ McConnell,Greg Monroe,Jerryd Bayless,20151102,49900,345.5
Kyle Lowry,Jeremy Lamb,Danilo Gallinari,Kenneth Faried,Andre Drummond,Evan Fournier,Luis Scola,Jeff Teague,20151103,47000,387.0
Russell Westbrook,Bradley Beal,Trevor Ariza,Jared Sullinger,Mason Plumlee,TJ McConnell,Evan Fournier,Kevin Durant,20151104,49900,346.5
Derrick Rose,Jimmy Butler,Al-Farouq Aminu,Chris Bosh,Al Jefferson,Dwyane Wade,Marvin Williams,Trevor Booker,20151105,47800,315.0
Darren Collison,James Harden,Jae Crowder,Jordan Hill,Kelly Olynyk,Stephen Curry,Paul George,Clint Capela,20151106,48800,395.5
Jerryd Bayless,Kent Bazemore,Andre Iguodala,Blake Griffin,Dwight Howard,Rajon Rondo,Nemanja Bjelica,Pau Gasol,20151107,46400,384.25
Reggie Jackson,Allen Crabbe,Metta World Peace,Kevin Love,Robin Lopez,Monta Ellis,Kevin Durant,Andre Drummond,20151108,49900,369.0
Damian Lillard,Kentavious Caldwell-Pope,Andrew Wiggins,JJ Hickson,Jahlil Okafor,Jeff Teague,Taj Gibson,Andre Drummond,20151109,49000,327.75
Russell Westbrook,Dion Waiters,LeBron James,Chris Bosh,Karl-Anthony Towns,Cory Joseph,Luol Deng,Zach LaVine,20151110,49900,337.75
Rajon Rondo,Eric Gordon,Joe Johnson,Dirk Nowitzki,Dwight Howard,Shabazz Napier,Danilo Gallinari,Paul Millsap,20151111,48200,359.0
Stephen Curry,Eric Bledsoe,Gordon Hayward,Jon Leuer,Andrew Bogut,Tyler Johnson,Draymond Green,Derrick Favors,20151112,49900,370.25
Isaiah Thomas,Monta Ellis,Nicolas Batum,Amir Johnson,Zaza Pachulia,Rajon Rondo,Tobias Harris,Marc Gasol,20151113,48500,384.25
Jarrett Jack,Jamal Crawford,Andre Iguodala,Draymond Green,Andrew Bogut,Eric Bledsoe,LeBron James,Will Barton,20151114,48000,420.75
Cory Joseph,DeMar DeRozan,Jeff Green,DeMarcus Cousins,Al Jefferson,Marcus Smart,Nicolas Batum,Carmelo Anthony,20151115,49600,355.75
