Date,Name,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-
20201222,Andrew Wiggins,GSW,31.14,4,16,.250,2,6,.333,3,4,.750,0,2,2,1,0,1,4,4,13,-28
20201222,Stephen Curry,GSW,30.19,7,21,.333,2,10,.200,4,4,1.000,3,1,4,10,2,0,3,1,20,-23
20201222,Kelly Oubre Jr,GSW,25.39,3,14,.214,0,6,.000,0,0,0,4,3,7,2,1,2,3,1,6,-28
20201222,James Wiseman,GSW,24.17,7,13,.538,1,1,1.000,4,8,.500,1,5,6,0,2,0,1,2,19,-10
20201222,Eric Paschall,GSW,21.33,2,6,.333,1,1,1.000,1,2,.500,1,0,1,0,0,1,0,1,6,-28
20201222,Brad Wanamaker,GSW,21.40,0,2,.000,0,1,.000,3,4,.750,0,1,1,3,0,0,1,2,3,+1
20201222,Jordan Poole,GSW,17.55,1,4,.250,0,1,.000,0,0,0,0,2,2,3,0,0,2,2,2,-3
20201222,Juan Toscano-Anderson,GSW,13.15,2,2,1.000,0,0,0,0,0,0,0,4,4,2,0,2,0,3,4,-9
20201222,Marquese Chriss,GSW,12.26,4,10,.400,1,3,.333,0,0,0,3,5,8,1,0,0,0,2,9,-6
20201222,Damion Lee,GSW,12.14,1,2,.500,1,1,1.000,0,0,0,1,6,7,2,0,0,0,0,3,+8
20201222,Kent Bazemore,GSW,11.35,1,2,.500,0,1,.000,0,0,0,0,2,2,2,1,0,2,3,2,-3
20201222,Kevon Looney,GSW,11.17,2,4,.500,0,0,0,0,1,.000,0,2,2,0,0,0,2,3,4,-10
20201222,Mychal Mulder,GSW,6.36,3,3,1.000,2,2,1.000,0,0,0,0,1,1,0,0,0,0,0,8,+9
20201222,Kyrie Irving,Bkn,25.18,10,16,.625,4,7,.571,2,2,1.000,1,3,4,4,0,0,1,3,26,+32
20201222,Kevin Durant,Bkn,24.56,7,16,.438,1,2,.500,7,7,1.000,1,4,5,3,3,1,1,3,22,+26
20201222,Joe Harris,Bkn,20.46,4,8,.500,2,5,.400,0,0,0,2,5,7,2,0,1,2,2,10,+21
20201222,Spencer Dinwiddie,Bkn,19.57,2,6,.333,1,3,.333,4,4,1.000,0,5,5,4,0,0,3,1,9,+24
20201222,DeAndre Jordan,Bkn,17.03,2,3,.667,0,0,0,0,2,.000,2,9,11,1,1,1,3,2,4,+21
20201222,Caris LeVert,Bkn,24.49,6,17,.353,3,5,.600,5,6,.833,1,8,9,5,2,1,2,1,20,+18
20201222,Landry Shamet,Bkn,19.43,1,4,.250,1,4,.250,3,4,.750,0,1,1,0,1,0,2,3,6,+12
20201222,Jarrett Allen,Bkn,19.37,2,3,.667,0,0,0,4,5,.800,3,4,7,2,1,2,2,0,8,+12
20201222,Jeff Green,Bkn,17.17,3,4,.750,1,2,.500,0,0,0,0,0,0,1,1,0,1,3,7,+6
20201222,Taurean Prince,Bkn,16.06,0,1,.000,0,1,.000,1,2,.500,0,1,1,0,1,1,0,1,1,+3
20201222,Reggie Perry,Bkn,7.46,1,3,.333,0,1,.000,0,0,0,1,1,2,1,0,0,0,0,2,-8
20201222,Bruce Brown,Bkn,7.31,1,3,.333,0,1,.000,0,0,0,0,1,1,1,0,0,2,1,2,-7
20201222,Timothé Luwawu-Cabarrot,Bkn,6.36,2,6,.333,1,3,.333,0,0,0,1,1,2,0,0,0,1,2,5,-9
20201222,Rodions Kurucs,Bkn,6.36,1,1,1.000,1,1,1.000,0,0,0,0,1,1,0,0,0,0,0,3,-9
20201222,Tyler Johnson,Bkn,5.59,0,1,.000,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,-12
20201222,Paul George,LAC,35.46,13,18,.722,5,8,.625,2,2,1.000,0,6,6,3,1,0,5,3,33,+17
20201222,Kawhi Leonard,LAC,34.01,10,26,.385,1,8,.125,5,5,1.000,0,2,2,3,2,0,3,5,26,+1
20201222,Nicolas Batum,LAC,28.11,1,4,.250,1,3,.333,0,0,0,1,5,6,6,2,0,1,2,3,-2
20201222,Patrick Beverley,LAC,22.07,4,9,.444,2,5,.400,0,0,0,4,2,6,3,0,0,2,4,10,+10
20201222,Serge Ibaka,LAC,20.33,5,7,.714,2,3,.667,3,5,.600,2,4,6,0,0,1,1,3,15,-8
20201222,Ivica Zubac,LAC,26.31,4,5,.800,0,0,0,3,4,.750,3,3,6,1,1,1,1,4,11,+17
20201222,Lou Williams,LAC,25.58,4,9,.444,2,4,.500,1,3,.333,0,2,2,3,0,0,1,2,11,+1
20201222,Luke Kennard,LAC,21.03,2,6,.333,0,3,.000,0,0,0,0,2,2,2,2,1,1,3,4,-3
20201222,Patrick Patterson,LAC,19.36,1,5,.200,1,4,.250,0,0,0,1,2,3,1,2,0,1,2,3,+9
20201222,Reggie Jackson,LAC,3.21,0,3,.000,0,2,.000,0,0,0,0,1,1,0,0,0,0,1,0,-1
20201222,Terance Mann,LAC,1.01,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
20201222,Amir Coffey,LAC,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
20201222,Mfiondu Kabengele,LAC,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
20201222,Anthony Davis,LAL,30.53,8,15,.533,0,2,.000,2,2,1.000,0,7,7,2,0,0,4,1,18,-16
20201222,LeBron James,LAL,28.21,7,17,.412,3,8,.375,5,7,.714,2,3,5,5,0,0,4,2,22,+2
20201222,Dennis Schröder,LAL,27.48,5,15,.333,2,5,.400,2,4,.500,1,11,12,8,0,0,1,4,14,-10
20201222,Kentavious Caldwell-Pope,LAL,23.03,2,4,.500,1,3,.333,4,4,1.000,0,2,2,1,2,1,2,2,9,-9
20201222,Marc Gasol,LAL,12.02,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,5,0,-8
20201222,Montrezl Harrell,LAL,32.15,6,7,.857,0,0,0,5,7,.714,4,6,10,3,0,1,1,1,17,-3
20201222,Kyle Kuzma,LAL,26.38,6,11,.545,1,3,.333,2,2,1.000,0,1,1,0,0,0,2,2,15,+1
20201222,Markieff Morris,LAL,19.00,1,3,.333,1,2,.500,2,3,.667,1,3,4,1,0,0,0,0,5,+14
20201222,Alex Caruso,LAL,16.40,1,5,.200,1,4,.250,0,0,0,0,2,2,1,0,0,3,0,3,+3
20201222,Wesley Matthews,LAL,11.06,0,2,.000,0,2,.000,0,0,0,0,0,0,0,1,0,0,0,0,-18
20201222,Talen Horton-Tucker,LAL,10.51,2,2,1.000,0,0,0,2,2,1.000,0,1,1,0,1,0,1,3,6,+7
20201222,Quinn Cook,LAL,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+2
20201223,Terry Rozier,Cha,37.31,15,23,.652,10,16,.625,2,4,.500,1,2,3,2,2,1,3,5,42,-4
20201223,Devonte' Graham,Cha,37.07,4,13,.308,2,9,.222,0,0,0,2,1,3,10,0,0,2,1,10,-7
20201223,Gordon Hayward,Cha,36.13,11,18,.611,4,8,.500,2,2,1.000,0,4,4,7,1,0,3,4,28,-2
20201223,P.J. Washington,Cha,21.23,1,5,.200,0,1,.000,2,2,1.000,0,2,2,2,0,1,0,1,4,-17
20201223,Cody Zeller,Cha,18.57,3,6,.500,0,2,.000,0,1,.000,1,2,3,0,3,1,1,1,6,-10
20201223,Bismack Biyombo,Cha,24.21,5,5,1.000,0,0,0,1,5,.200,1,3,4,0,0,1,2,1,11,0
20201223,Miles Bridges,Cha,22.05,3,10,.300,0,5,.000,0,0,0,1,5,6,1,1,0,0,1,6,+6
20201223,Cody Martin,Cha,21.01,2,3,.667,0,0,0,1,1,1.000,1,4,5,4,0,0,0,1,5,+2
20201223,LaMelo Ball,Cha,15.48,0,5,.000,0,3,.000,0,0,0,0,1,1,3,2,0,3,2,0,+2
20201223,Jalen McDaniels,Cha,5.34,1,2,.500,0,0,0,0,0,0,1,0,1,0,1,0,1,0,2,-5
20201223,Collin Sexton,Cle,37.05,9,16,.563,3,4,.750,6,9,.667,0,2,2,5,0,0,2,4,27,+6
20201223,Larry Nance Jr,Cle,33.34,5,9,.556,1,1,1.000,2,2,1.000,5,8,13,8,3,2,2,4,13,+3
20201223,Isaac Okoro,Cle,33.32,4,5,.800,1,2,.500,2,2,1.000,0,3,3,5,0,0,2,1,11,+7
20201223,Darius Garland,Cle,32.33,7,13,.538,4,8,.500,4,4,1.000,0,6,6,6,1,0,2,3,22,+4
20201223,Andre Drummond,Cle,27.13,7,18,.389,0,1,.000,0,0,0,3,11,14,4,1,0,5,2,14,-5
20201223,JaVale McGee,Cle,19.12,6,7,.857,0,1,.000,1,1,1.000,1,6,7,1,1,1,1,3,13,+12
20201223,Cedi Osman,Cle,17.57,4,9,.444,3,6,.500,0,0,0,1,3,4,2,0,0,1,2,11,-4
20201223,Dean Wade,Cle,15.52,3,4,.750,1,2,.500,0,0,0,0,0,0,3,3,0,2,3,7,+2
20201223,Damyean Dotson,Cle,13.32,0,1,.000,0,1,.000,0,0,0,0,1,1,0,1,0,0,0,0,+14
20201223,Dylan Windler,Cle,9.29,1,5,.200,1,4,.250,0,0,0,0,0,0,0,2,0,1,0,3,-4
20201223,Marques Bolden,Cle,0.01,0,0,0,0,0,0,0,2,.000,0,0,0,0,0,0,0,0,0,0
20201223,Julius Randle,NYK,35.28,7,15,.467,0,2,.000,3,4,.750,1,8,9,9,0,0,5,5,17,-5
20201223,RJ Barrett,NYK,34.22,11,15,.733,3,3,1.000,1,2,.500,0,8,8,5,0,0,1,3,26,-10
20201223,Reggie Bullock,NYK,25.38,4,10,.400,3,8,.375,0,0,0,0,1,1,2,1,0,0,3,11,-16
20201223,Elfrid Payton,NYK,22.10,3,7,.429,1,1,1.000,0,0,0,1,1,2,3,1,0,5,3,7,-15
