Date,Name,Team,Starter,Position,Salary,FPTS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-
20201222,Reggie Perry,Bkn,0,PF/C,3000,6.0,7.77,1,3,0.333,0,1,0.0,0,0,0.0,1,1,2,1,0,0,0,0,2,-8
20201222,Mfiondu Kabengele,LAC,0,PF/C,3000,0.0,0.93,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2
20201222,Amir Coffey,LAC,0,SF,3100,0.0,0.93,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2
20201222,Quinn Cook,LAL,0,PG,3200,0.0,1.38,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2
20201222,Brad Wanamaker,GSW,0,PG,3300,8.25,21.67,0,2,0.0,0,1,0.0,3,4,0.75,0,1,1,3,0,0,1,2,3,1
20201222,Terance Mann,LAC,0,PG,3300,0.0,1.02,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2
20201222,Juan Toscano-Anderson,GSW,0,SF/PF,3400,16.0,13.25,2,2,1.0,0,0,0.0,0,0,0.0,0,4,4,2,0,2,0,3,4,-9
20201222,Rodions Kurucs,Bkn,0,PF/C,3400,4.75,6.6,1,1,1.0,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,0,3,-9
20201222,Mychal Mulder,GSW,0,SG,3500,10.25,6.6,3,3,1.0,2,2,1.0,0,0,0.0,0,1,1,0,0,0,0,0,8,9
20201222,Talen Horton-Tucker,LAL,0,SG/SF,3500,8.75,10.85,2,2,1.0,0,0,0.0,2,2,1.0,0,1,1,0,1,0,1,3,6,7
20201222,Tyler Johnson,Bkn,0,PG,3500,3.25,5.98,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,0,1,0,0,0,0,-12
20201222,Luke Kennard,LAC,0,SG/SF,3600,15.0,21.05,2,6,0.333,0,3,0.0,0,0,0.0,0,2,2,2,2,1,1,3,4,-3
20201222,Damion Lee,GSW,0,SG,3700,15.25,12.23,1,2,0.5,1,1,1.0,0,0,0.0,1,6,7,2,0,0,0,0,3,8
20201222,Bruce Brown,Bkn,0,PG/SG,3700,3.75,7.52,1,3,0.333,0,1,0.0,0,0,0.0,0,1,1,1,0,0,2,1,2,-7
20201222,Eric Paschall,GSW,1,PF,3800,9.75,21.55,2,6,0.333,1,1,1.0,1,2,0.5,1,0,1,0,0,1,0,1,6,-28
20201222,Jeff Green,Bkn,0,PF/C,3900,10.5,17.28,3,4,0.75,1,2,0.5,0,0,0.0,0,0,0,1,1,0,1,3,7,6
20201222,Taurean Prince,Bkn,0,PF,3900,6.25,16.1,0,1,0.0,0,1,0.0,1,2,0.5,0,1,1,0,1,1,0,1,1,3
20201222,Marquese Chriss,GSW,0,C,4000,21.0,12.43,4,10,0.4,1,3,0.333,0,0,0.0,3,5,8,1,0,0,0,2,9,-6
20201222,Alex Caruso,LAL,0,PG/SG,4000,6.0,16.67,1,5,0.2,1,4,0.25,0,0,0.0,0,2,2,1,0,0,3,0,3,3
20201222,Nicolas Batum,LAC,1,SF/PF,4100,23.5,28.18,1,4,0.25,1,3,0.333,0,0,0.0,1,5,6,6,2,0,1,2,3,-2
20201222,Jordan Poole,GSW,0,PG/SG,4100,8.0,17.92,1,4,0.25,0,1,0.0,0,0,0.0,0,2,2,3,0,0,2,2,2,-3
20201222,Kentavious Caldwell-Pope,LAL,1,SG/SF,4200,18.5,23.05,2,4,0.5,1,3,0.333,4,4,1.0,0,2,2,1,2,1,2,2,9,-9
20201222,Patrick Patterson,LAC,0,PF/C,4200,12.25,19.6,1,5,0.2,1,4,0.25,0,0,0.0,1,2,3,1,2,0,1,2,3,9
20201222,Markieff Morris,LAL,0,PF/C,4300,12.0,19.0,1,3,0.333,1,2,0.5,2,3,0.667,1,3,4,1,0,0,0,0,5,14
20201222,Kent Bazemore,GSW,0,SF,4300,8.5,11.58,1,2,0.5,0,1,0.0,0,0,0.0,0,2,2,2,1,0,2,3,2,-3
20201222,Patrick Beverley,LAC,1,PG,4400,22.0,22.12,4,9,0.444,2,5,0.4,0,0,0.0,4,2,6,3,0,0,2,4,10,10
20201222,Landry Shamet,Bkn,0,SG/SF,4500,8.75,19.72,1,4,0.25,1,4,0.25,3,4,0.75,0,1,1,0,1,0,2,3,6,12
20201222,Reggie Jackson,LAC,0,PG,4600,1.25,3.35,0,3,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-1
20201222,Marc Gasol,LAL,1,C,4700,2.25,12.03,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,5,0,-8
20201222,Joe Harris,Bkn,1,SG/SF,4800,23.75,20.77,4,8,0.5,2,5,0.4,0,0,0.0,2,5,7,2,0,1,2,2,10,21
20201222,James Wiseman,GSW,1,C,4900,30.5,24.28,7,13,0.538,1,1,1.0,4,8,0.5,1,5,6,0,2,0,1,2,19,-10
20201222,Ivica Zubac,LAC,0,C,5000,23.5,26.52,4,5,0.8,0,0,0.0,3,4,0.75,3,3,6,1,1,1,1,4,11,17
20201222,Serge Ibaka,LAC,1,C,5200,25.0,20.55,5,7,0.714,2,3,0.667,3,5,0.6,2,4,6,0,0,1,1,3,15,-8
20201222,Kevon Looney,GSW,0,C,5200,5.5,11.28,2,4,0.5,0,0,0.0,0,1,0.0,0,2,2,0,0,0,2,3,4,-10
20201222,Montrezl Harrell,LAL,0,PF/C,5300,37.0,32.25,6,7,0.857,0,0,0.0,5,7,0.714,4,6,10,3,0,1,1,1,17,-3
20201222,Kyle Kuzma,LAL,0,SF/PF,5500,15.75,26.63,6,11,0.545,1,3,0.333,2,2,1.0,0,1,1,0,0,0,2,2,15,1
20201222,DeAndre Jordan,Bkn,1,C,5600,21.75,17.05,2,3,0.667,0,0,0.0,0,2,0.0,2,9,11,1,1,1,3,2,4,21
20201222,Dennis Schroder,LAL,1,PG/SG,5800,43.0,27.8,5,15,0.333,2,5,0.4,2,4,0.5,1,11,12,8,0,0,1,4,14,-10
20201222,Spencer Dinwiddie,Bkn,1,PG,6000,20.25,19.95,2,6,0.333,1,3,0.333,4,4,1.0,0,5,5,4,0,0,3,1,9,24
20201222,Jarrett Allen,Bkn,0,C,6200,24.75,19.62,2,3,0.667,0,0,0.0,4,5,0.8,3,4,7,2,1,2,2,0,8,12
20201222,Caris LeVert,Bkn,0,SG/SF,6500,45.25,24.82,6,17,0.353,3,5,0.6,5,6,0.833,1,8,9,5,2,1,2,1,20,18
20201222,Andrew Wiggins,GSW,1,SG/SF,7000,18.0,31.23,4,16,0.25,2,6,0.333,3,4,0.75,0,2,2,1,0,1,4,4,13,-28
20201222,Paul George,LAC,1,SG,7800,47.0,35.77,13,18,0.722,5,8,0.625,2,2,1.0,0,6,6,3,1,0,5,3,33,17
20201222,Kyrie Irving,Bkn,1,PG,8500,38.5,25.3,10,16,0.625,4,7,0.571,2,2,1.0,1,3,4,4,0,0,1,3,26,32
20201222,Kawhi Leonard,LAC,1,SG/SF,9100,36.0,34.02,10,26,0.385,1,8,0.125,5,5,1.0,0,2,2,3,2,0,3,5,26,1
20201222,Stephen Curry,GSW,1,PG,9300,45.0,30.32,7,21,0.333,2,10,0.2,4,4,1.0,3,1,4,10,2,0,3,1,20,-23
20201222,LeBron James,LAL,1,PG/SF,9600,35.25,28.35,7,17,0.412,3,8,0.375,5,7,0.714,2,3,5,5,0,0,4,2,22,2
20201222,Kevin Durant,Bkn,1,PF,9800,40.75,24.93,7,16,0.438,1,2,0.5,7,7,1.0,1,4,5,3,3,1,1,3,22,26
20201222,Anthony Davis,LAL,1,PF/C,10000,27.75,30.88,8,15,0.533,0,2,0.0,2,2,1.0,0,7,7,2,0,0,4,1,18,-16
20201223,Josh Jackson,Det,0,SF,3000,32.0,28.85,8,14,0.571,3,7,0.429,0,0,0.0,0,6,6,2,1,0,2,5,19,-13
20201223,Patrick Williams,Chi,1,SF/PF,3000,27.0,33.03,5,11,0.455,1,3,0.333,5,6,0.833,0,4,4,1,1,1,0,2,16,-23
20201223,JaVale McGee,Cle,0,C,3000,26.75,19.2,6,7,0.857,0,1,0.0,1,1,1.0,1,6,7,1,1,1,1,3,13,12
20201223,Reggie Bullock,NYK,1,SF,3000,18.75,25.63,4,10,0.4,3,8,0.375,0,0,0.0,0,1,1,2,1,0,0,3,11,-16
20201223,Sekou Doumbouya,Det,0,SF/PF,3000,18.75,13.5,3,8,0.375,0,2,0.0,0,1,0.0,2,7,9,1,0,0,0,1,6,5
20201223,Bruno Fernando,Atl,0,C,3000,17.75,18.13,2,3,0.667,0,0,0.0,1,2,0.5,3,4,7,1,2,0,3,3,5,-1
20201223,Dean Wade,Cle,0,PF,3000,17.0,15.87,3,4,0.75,1,2,0.5,0,0,0.0,0,0,0,3,3,0,2,3,7,2
20201223,Bismack Biyombo,Cha,0,C,3000,17.0,24.35,5,5,1.0,0,0,0.0,1,5,0.2,1,3,4,0,0,1,2,1,11,0
20201223,Adam Mokoka,Chi,0,PG,3000,15.5,16.78,2,6,0.333,0,3,0.0,0,0,0.0,1,1,2,2,1,1,0,1,4,6
20201223,Langston Galloway,Pho,0,PG/SG,3000,14.75,8.57,4,5,0.8,2,2,1.0,1,1,1.0,0,1,1,1,0,0,0,1,11,2
20201223,Chuma Okeke,Orl,0,PF/C,3000,13.75,22.0,1,3,0.333,0,1,0.0,1,2,0.5,2,3,5,2,1,0,1,0,3,-11
20201223,Semi Ojeleye,Bos,0,PF,3000,12.0,18.98,2,2,1.0,1,1,1.0,0,1,0.0,1,3,4,1,0,0,0,1,5,20
20201223,Precious Achiuwa,Mia,0,PF/C,3000,11.75,13.65,3,4,0.75,0,0,0.0,2,4,0.5,1,2,3,0,0,0,0,2,8,6
20201223,Desmond Bane,Mem,0,PG/SG,3000,11.5,10.55,2,5,0.4,2,4,0.5,0,0,0.0,1,3,4,0,0,0,1,1,6,-6
20201223,Tyrese Maxey,Phi,0,PG/SG,3000,11.0,10.85,3,6,0.5,0,1,0.0,0,0,0.0,0,2,2,2,0,0,1,0,6,3
20201223,Jalen Smith,Pho,0,PF/C,3000,10.75,16.22,2,3,0.667,0,0,0.0,0,2,0.0,1,2,3,1,0,1,1,1,4,6
20201223,Robert Williams,Bos,0,C,3000,10.5,12.47,2,2,1.0,0,0,0.0,0,0,0.0,3,1,4,0,0,1,1,1,4,-5
20201223,Brandon Goodwin,Atl,0,PG,3000,10.25,13.23,1,4,0.25,1,3,0.333,0,0,0.0,0,1,1,4,0,0,1,4,3,-16
20201223,Chandler Hutchison,Chi,0,SF,3000,9.75,18.58,1,6,0.167,0,0,0.0,0,0,0.0,1,4,5,0,0,0,1,3,2,4
20201223,Devin Vassell,SAS,0,SF/PF,3000,9.25,19.67,1,4,0.25,1,2,0.5,0,0,0.0,1,2,3,0,0,1,0,1,3,13
20201223,DJ Wilson,Mil,0,PF/C,3000,9.25,12.88,0,2,0.0,0,2,0.0,0,0,0.0,0,5,5,1,0,1,1,2,0,-6
20201223,Dwayne Bacon,Orl,1,SF,3000,8.25,18.98,0,5,0.0,0,1,0.0,0,0,0.0,0,3,3,3,0,0,0,2,0,0
20201223,Robin Lopez,Was,0,C,3000,8.25,16.53,1,3,0.333,1,1,1.0,0,0,0.0,1,2,3,0,0,1,2,4,3,-16
20201223,Daniel Gafford,Chi,0,C,3000,8.25,16.9,2,4,0.5,0,0,0.0,1,4,0.25,0,1,1,0,0,1,0,1,5,2
20201223,Grant Williams,Bos,0,PF,3000,7.75,14.58,1,5,0.2,1,4,0.25,0,0,0.0,0,1,1,1,1,0,1,2,3,-19
20201223,Dylan Windler,Cle,0,SG/SF,3000,7.0,9.48,1,5,0.2,1,4,0.25,0,0,0.0,0,0,0,0,2,0,1,0,3,-4
20201223,Nicolo Melli,Nor,0,PF,3000,7.0,13.52,0,4,0.0,0,3,0.0,0,0,0.0,0,2,2,2,1,0,1,0,0,-6
20201223,Payton Pritchard,Bos,0,PG,3000,6.75,13.0,1,4,0.25,1,2,0.5,0,0,0.0,0,1,1,0,1,0,0,1,3,-2
20201223,Rodney Hood,Por,0,SG/SF,3000,6.75,13.83,0,3,0.0,0,0,0.0,0,0,0.0,0,3,3,2,0,0,0,0,0,-1
20201223,Miye Oni,Uta,0,SG,3000,6.25,3.85,1,2,0.5,1,1,1.0,0,0,0.0,0,1,1,1,0,0,0,0,3,-2
20201223,CJ Elleby,Por,0,SG,3000,6.0,4.45,1,2,0.5,0,1,0.0,0,0,0.0,1,1,2,1,0,0,0,2,2,0
20201223,Willie Cauley-Stein,Dal,0,C,3000,6.0,6.03,1,1,1.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,1,2,14
20201223,Elijah Hughes,Uta,0,SF,3000,5.75,3.15,0,1,0.0,0,0,0.0,3,4,0.75,0,1,1,1,0,0,0,0,3,-2
20201223,Damian Jones,Pho,0,C,3000,4.75,7.62,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,1,1,5,0,2
20201223,Solomon Hill,Atl,0,PF,3000,4.25,28.4,0,3,0.0,0,3,0.0,0,0,0.0,0,3,3,0,0,1,3,2,0,-8
20201223,Udoka Azubuike,Uta,0,C,3000,3.25,3.58,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2,0
20201223,Frank Ntilikina,NYK,0,PG,3000,3.0,4.78,0,2,0.0,0,1,0.0,1,2,0.5,0,0,0,0,1,0,0,1,1,-5
20201223,Nathan Knight,Atl,0,C,3000,2.75,5.07,0,2,0.0,0,0,0.0,0,0,0.0,2,1,3,0,0,0,2,2,0,-12
20201223,Josh Green,Dal,0,SF,3000,2.0,3.27,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-5
20201223,DeAndre Bembry,Tor,0,SF,3000,1.5,5.5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,1,0,0,4
20201223,Jake Layman,Min,1,PF,3000,1.25,16.55,0,3,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-15
20201223,Juwan Morgan,Uta,0,PF,3000,1.25,3.15,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-2
20201223,Keljin Blevins,Por,0,SG,3000,1.0,4.45,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,1,1,0,0
20201223,Sam Merrill,Mil,0,SG,3000,0.0,5.47,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
20201223,Skylar Mays,Atl,0,SG,3000,0.0,5.07,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-12
20201223,Shaquille Harrison,Uta,0,PG,3000,0.0,2.82,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1
20201223,Malachi Flynn,Tor,0,PG,3000,0.0,1.27,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2
20201223,Stanley Johnson,Tor,0,SF/PF,3000,0.0,1.27,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2
20201223,Theo Pinson,NYK,0,SF,3000,0.0,0.92,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1
20201223,Marques Bolden,Cle,0,C,3000,0.0,0.02,0,0,0.0,0,0,0.0,0,2,0.0,0,0,0,0,0,0,0,0,0,0
20201223,Khem Birch,Orl,0,C,3100,10.5,14.45,2,4,0.5,0,0,0.0,2,2,1.0,1,1,2,0,1,0,0,3,6,6
20201223,Raul Neto,Was,0,PG,3100,3.5,9.7,0,1,0.0,0,0,0.0,2,3,0.667,0,0,0,1,0,0,0,0,2,-14
20201223,Damyean Dotson,Cle,0,SG,3100,3.25,13.53,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0,14
20201223,Dwight Howard,Phi,0,C,3200,20.5,13.17,2,2,1.0,0,0,0.0,0,0,0.0,3,7,10,2,0,1,2,3,4,8
20201223,Cole Anthony,Orl,0,PG/SG,3200,20.0,19.18,3,5,0.6,0,1,0.0,0,0,0.0,0,2,2,6,2,0,3,1,6,3
20201223,Tyus Jones,Mem,0,PG,3200,8.75,13.58,3,5,0.6,0,1,0.0,1,2,0.5,0,1,1,1,0,0,2,0,7,-20
20201223,Harry Giles,Por,0,C,3200,8.0,4.45,1,2,0.5,1,1,1.0,0,0,0.0,0,2,2,0,0,1,0,1,3,0
20201223,Bryn Forbes,Mil,0,PG/SG,3200,4.75,13.52,1,5,0.2,1,4,0.25,0,0,0.0,0,1,1,0,0,0,0,1,3,4
20201223,Georges Niang,Uta,0,SF/PF,3200,0.0,8.52,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,4
20201223,Cody Martin,Cha,0,SG/SF,3300,17.25,21.02,2,3,0.667,0,0,0.0,1,1,1.0,1,4,5,4,0,0,0,1,5,2
20201223,Ryan Arcidiacono,Chi,0,PG,3300,14.25,19.58,2,6,0.333,1,4,0.25,0,0,0.0,0,3,3,2,1,0,0,2,5,6
