Date,Name,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-
20191023,Aaron Gordon,Orl,28.53,2,8,0.25,1,2,0.5,4,6,0.667,0,2,2,3,2,1,1,4,9,1
20191026,Aaron Gordon,Orl,30.26,4,10,0.4,0,2,0.0,2,2,1.0,4,3,7,3,2,0,1,0,10,-11
20191028,Aaron Gordon,Orl,29.4,1,6,0.167,0,2,0.0,0,0,0.0,1,4,5,5,0,2,3,3,2,-17
20191030,Aaron Gordon,Orl,28.1,6,13,0.462,3,6,0.5,0,0,0.0,3,8,11,1,1,1,0,3,15,17
20191101,Aaron Gordon,Orl,28.15,3,10,0.3,2,5,0.4,3,5,0.6,1,3,4,3,0,0,1,3,11,-3
20191102,Aaron Gordon,Orl,32.18,9,15,0.6,1,4,0.25,2,5,0.4,2,7,9,3,0,0,0,1,21,-14
20191105,Aaron Gordon,Orl,28.34,6,13,0.462,0,3,0.0,3,4,0.75,2,5,7,3,0,0,2,5,15,-4
20191106,Aaron Gordon,Orl,37.19,10,17,0.588,1,5,0.2,2,2,1.0,3,1,4,1,2,0,4,6,23,-6
20191108,Aaron Gordon,Orl,31.36,7,11,0.636,0,2,0.0,3,3,1.0,1,3,4,2,1,0,2,2,17,26
20191110,Aaron Gordon,Orl,30.03,5,10,0.5,2,5,0.4,1,1,1.0,1,1,2,3,0,1,1,1,13,-8
20191113,Aaron Gordon,Orl,36.2,4,12,0.333,3,5,0.6,7,9,0.778,1,12,13,7,1,1,2,2,18,11
20191115,Aaron Gordon,Orl,35.53,4,15,0.267,1,6,0.167,5,8,0.625,3,5,8,4,0,1,2,3,14,5
20191117,Aaron Gordon,Orl,36.33,5,16,0.313,1,5,0.2,2,2,1.0,1,8,9,2,0,0,0,0,13,4
20191120,Aaron Gordon,Orl,12.14,1,3,0.333,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,1,2,-6
20191129,Aaron Gordon,Orl,31.44,2,11,0.182,1,4,0.25,3,4,0.75,1,7,8,2,2,1,0,2,8,0
20191201,Aaron Gordon,Orl,30.06,2,11,0.182,1,5,0.2,3,4,0.75,1,6,7,4,0,0,3,3,8,-6
20191203,Aaron Gordon,Orl,31.47,7,15,0.467,2,5,0.4,2,4,0.5,2,9,11,2,0,0,0,0,18,-4
20191204,Aaron Gordon,Orl,33.32,13,15,0.867,5,5,1.0,1,2,0.5,0,5,5,5,1,0,1,1,32,12
20191206,Aaron Gordon,Orl,31.15,6,13,0.462,0,2,0.0,2,2,1.0,0,5,5,2,1,1,2,1,14,0
20191209,Aaron Gordon,Orl,38.18,3,12,0.25,1,6,0.167,3,4,0.75,4,9,13,2,1,1,3,2,10,-12
20191211,Aaron Gordon,Orl,34.0,5,11,0.455,1,3,0.333,3,4,0.75,5,9,14,4,1,1,3,3,14,-13
20191213,Aaron Gordon,Orl,32.5,9,15,0.6,2,5,0.4,1,1,1.0,3,3,6,4,0,0,1,0,21,-18
