PG,SG,SF,PF,C,G,F,UTIL,Date,Prediction,Score
Derrick Rose,RJ Barrett,Kevin Knox,Nemanja Bjelica,Bobby Portis,Donovan Mitchell,Julius Randle,Andre Drummond,20191101,247.25,281.75
CJ McCollum,Rodney Hood,Dario Saric,Jonathan Isaac,Andre Drummond,Damian Lillard,Frank Kaminsky,Aron Baynes,20191102,298.5,288.25
Jordan Clarkson,Patty Mills,PJ Tucker,Kawhi Leonard,Bobby Portis,Russell Westbrook,LeBron James,Nemanja Bjelica,20191103,317.0,226.25
Langston Galloway,Josh Richardson,Rodney Hood,Al Horford,Aron Baynes,Damian Lillard,Brandon Ingram,Andre Drummond,20191104,323.75,301.5
Patty Mills,Justin Holiday,Jordan Clarkson,Anthony Davis,Wendell Carter Jr,Malcolm Brogdon,Meyers Leonard,LeBron James,20191105,307.75,253.0
Patty Mills,Rodney Hood,Gordon Hayward,Montrezl Harrell,Meyers Leonard,Damian Lillard,Kawhi Leonard,Cody Zeller,20191107,301.5,234.0
Alec Burks,DAngelo Russell,Hamidou Diallo,Brandon Ingram,Maxi Kleber,Chris Paul,Tim Hardaway Jr,Luka Doncic,20191109,305.25,291.75
Frank Ntilikina,Langston Galloway,Harrison Barnes,Paul Millsap,Domantas Sabonis,Luke Kennard,Will Barton,Damian Lillard,20191112,307.5,256.5
Kris Dunn,Spencer Dinwiddie,Cameron Johnson,JaMychal Green,DeAndre Jordan,Trae Young,Jabari Parker,Luka Doncic,20191114,318.25,256.25
Langston Galloway,Luke Kennard,Jae Crowder,LaMarcus Aldridge,Thomas Bryant,DAngelo Russell,Josh Richardson,Nikola Vucevic,20191115,297.25,253.5
Ricky Rubio,Bogdan Bogdanovic,Cameron Johnson,Brandon Ingram,Nerlens Noel,LeBron James,JJ Redick,Steven Adams,20191119,292.5,269.5
Donte DiVincenzo,JJ Redick,Brandon Ingram,Kenrich Williams,Nicolo Melli,CJ McCollum,Giannis Antetokounmpo,Brook Lopez,20191121,294.5,331.0
Frank Ntilikina,JJ Redick,Davis Bertans,Cameron Johnson,Paul Millsap,Jamal Murray,Brandon Ingram,Jrue Holiday,20191124,297.25,223.5
Will Barton,Jalen Brunson,Dorian Finney-Smith,Davis Bertans,Paul Millsap,Jamal Murray,Montrezl Harrell,Luka Doncic,20191126,299.0,200.75
George Hill,Jeremy Lamb,Jabari Parker,Ersan Ilyasova,Bismack Biyombo,Trae Young,PJ Washington,Giannis Antetokounmpo,20191130,297.5,205.75
LeBron James,Tyler Herro,Bojan Bogdanovic,Omari Spellman,Daniel Theis,DeMar DeRozan,Marquese Chriss,Jarrett Allen,20191201,296.0,175.0
Devonte Graham,Tomas Satoransky,Dario Saric,PJ Washington,Joel Embiid,Dennis Smith Jr,Omari Spellman,Zach LaVine,20191202,294.0,230.75
Jordan McRae,Tyler Herro,Cedi Osman,Carmelo Anthony,Clint Capela,Evan Fournier,Anthony Davis,Jrue Holiday,20191203,302.0,238.0
Fred VanVleet,Norman Powell,Rondae Hollis-Jefferson,Paul Millsap,Mason Plumlee,James Harden,Will Barton,Clint Capela,20191205,300.75,242.5
Collin Sexton,Evan Fournier,Jaylen Brown,Mason Plumlee,Dewayne Dedmon,Devonte Graham,Jimmy Butler,Hassan Whiteside,20191206,310.0,258.5
Austin Rivers,Ben McLemore,Justin Holiday,Cedi Osman,Frank Kaminsky,James Harden,Domantas Sabonis,Jonas Valanciunas,20191207,317.0,207.5
