PG,SG,SF,PF,C,G,F,UTIL,Date,Score,Genetic
Patrick Beverley,Josh Hart,Maurice Harkless,Brandon Ingram,Montrezl Harrell,Danny Green,Kawhi Leonard,Anthony Davis,20191022,307.75,307.75
Kendrick Nunn,Devonte Graham,Luke Kennard,Lauri Markkanen,Karl-Anthony Towns,Donovan Mitchell,Justise Winslow,Andre Drummond,20191023,435.5,410.75
Trae Young,George Hill,PJ Tucker,Ersan Ilyasova,Ivica Zubac,Russell Westbrook,Giannis Antetokounmpo,Andre Drummond,20191024,361.0,360.25
Allonzo Trier,Jaylen Brown,Jayson Tatum,Frank Kaminsky,Karl-Anthony Towns,Shai Gilgeous-Alexander,Thomas Bryant,Zach LaVine,20191025,408.25,375.25
Russell Westbrook,Derrick Rose,Josh Hart,OG Anunoby,Tristan Thompson,Malcolm Brogdon,Brandon Ingram,Trae Young,20191026,418.75,386.25
Quinn Cook,CJ McCollum,Duncan Robinson,Kristaps Porzingis,Cody Zeller,Kyrie Irving,Rodney Hood,Luka Doncic,20191027,381.25,377.0
Dennis Schroder,Damion Lee,Brandon Ingram,Richaun Holmes,Bobby Portis,Damian Lillard,Draymond Green,Joel Embiid,20191028,416.75,380.25
Goran Dragic,Tyler Herro,Will Barton,Paul Millsap,Bam Adebayo,Gary Harris,John Collins,Anthony Davis,20191029,344.25,329.75
Malcolm Brogdon,Bradley Beal,JaMychal Green,Dario Saric,Nerlens Noel,James Harden,Kevin Love,Aron Baynes,20191030,443.25,425.25
Derrick White,DeAndre Bembry,DeMar DeRozan,Meyers Leonard,Jahlil Okafor,Jimmy Butler,Kawhi Leonard,Jrue Holiday,20191031,347.25,345.0
Patty Mills,Jeremy Lamb,Garrett Temple,Marcus Morris,Andre Drummond,Kemba Walker,Taurean Prince,LeBron James,20191101,435.25,394.75
Jeff Teague,Bruce Brown,Dwayne Bacon,Gorgui Dieng,Brandon Clarke,Kyle Lowry,Giannis Antetokounmpo,Andre Drummond,20191102,408.0,398.25
Dejounte Murray,Duncan Robinson,Marcus Morris,Meyers Leonard,Dwight Howard,Donovan Mitchell,LeBron James,Luka Doncic,20191103,389.25,364.75
Donte DiVincenzo,Bruce Brown,Eric Paschall,Brandon Ingram,Al Horford,Kyrie Irving,Troy Brown Jr,James Harden,20191104,411.75,403.5
Quinn Cook,Zach LaVine,Will Barton,TJ Warren,Jerami Grant,Trae Young,Gordon Hayward,LeBron James,20191105,382.75,361.5
Michael Carter-Williams,Alec Burks,Doug McDermott,Jonathan Isaac,Montrezl Harrell,Tomas Satoransky,Giannis Antetokounmpo,James Harden,20191106,440.0,422.0
Goran Dragic,Jimmy Butler,Gordon Hayward,Danilo Gallinari,Ivica Zubac,Dejounte Murray,LaMarcus Aldridge,Hassan Whiteside,20191107,363.0,333.25
TJ McConnell,Spencer Dinwiddie,Evan Fournier,Marcus Morris,Nikola Vucevic,Jamal Murray,Pascal Siakam,DAngelo Russell,20191108,436.75,384.5
Devonte Graham,JJ Redick,Kenrich Williams,Jae Crowder,Derrick Favors,Luka Doncic,Wendell Carter Jr,James Harden,20191109,368.75,363.0
Dennis Schroder,Collin Sexton,Cameron Johnson,Domantas Sabonis,Cody Zeller,Fred VanVleet,Jabari Parker,Trae Young,20191110,387.25,354.25
DAngelo Russell,Jaylen Brown,Rondae Hollis-Jefferson,Rudy Gay,Derrick Favors,Jrue Holiday,Andrew Wiggins,Rudy Gobert,20191111,351.75,337.25
RJ Barrett,Coby White,Bogdan Bogdanovic,Nemanja Bjelica,Joel Embiid,Trae Young,TJ Warren,DeAndre Jordan,20191112,396.5,366.25
Malik Monk,Fred VanVleet,JaMychal Green,Aaron Gordon,JaVale McGee,Terry Rozier,Andrew Wiggins,James Harden,20191113,419.75,390.0
Frank Jackson,Rodney McGruder,Kenrich Williams,Derrick Favors,Alex Len,Jrue Holiday,Giannis Antetokounmpo,Luka Doncic,20191114,396.0,371.5
Langston Galloway,Bradley Beal,Cody Martin,Al-Farouq Aminu,Rudy Gobert,Ja Morant,Moritz Wagner,James Harden,20191115,401.0,385.75
Nickeil Alexander-Walker,Jerome Robinson,Norman Powell,Paul George,Bam Adebayo,CJ McCollum,LaMarcus Aldridge,Luka Doncic,20191116,386.5,363.0
Ky Bowman,Nickeil Alexander-Walker,Eric Paschall,Tobias Harris,Nikola Vucevic,Jamal Murray,Buddy Hield,LeBron James,20191117,412.75,395.25
Spencer Dinwiddie,Aaron Holiday,DeMar DeRozan,Dorian Finney-Smith,Daniel Gafford,Russell Westbrook,Montrezl Harrell,Luka Doncic,20191118,430.25,411.75
Devin Booker,Alec Burks,Draymond Green,Nassir Little,Marquese Chriss,Bogdan Bogdanovic,Richaun Holmes,Anthony Davis,20191119,367.5,361.75
Shaquille Harrison,Bryn Forbes,Jayson Tatum,DeAndre Hunter,Jarrett Allen,Ben Simmons,Marcus Morris,Luka Doncic,20191120,410.75,382.75
Jrue Holiday,Mikal Bridges,Brandon Ingram,Giannis Antetokounmpo,Skal Labissiere,JJ Redick,Carmelo Anthony,CJ McCollum,20191121,403.75,403.75
Darius Garland,Alec Burks,Bruce Brown,Miles Bridges,Nikola Jokic,Shai Gilgeous-Alexander,DeAndre Bembry,James Harden,20191122,379.5,351.5
Coby White,Frank Ntilikina,Jordan Clarkson,Jonathan Isaac,Wendell Carter Jr,Zach LaVine,Josh Richardson,Trae Young,20191123,386.75,365.5
Will Barton,Jamal Murray,Taurean Prince,Dario Saric,Richaun Holmes,Spencer Dinwiddie,Montrezl Harrell,Jarrett Allen,20191124,345.75,341.5
Ky Bowman,Marcus Smart,Carmelo Anthony,Kelly Olynyk,Tony Bradley,Buddy Hield,Giannis Antetokounmpo,Jarrett Allen,20191125,402.75,372.0
Jordan McRae,Kawhi Leonard,Paul George,Jerami Grant,Thomas Bryant,Will Barton,Mason Plumlee,Kristaps Porzingis,20191126,294.25,294.25
Kemba Walker,Zach LaVine,Dario Saric,Omari Spellman,Jonas Valanciunas,Jrue Holiday,Jabari Parker,Tomas Satoransky,20191127,426.25,385.75
DeAndre Bembry,Norman Powell,Bojan Bogdanovic,Abdel Nader,PJ Washington,Trae Young,Luka Doncic,Jonas Valanciunas,20191129,391.75,349.5
Terry Rozier,Austin Rivers,Ben McLemore,TJ Warren,Robin Lopez,Trae Young,Ben Simmons,James Harden,20191130,374.75,361.5
DeAnthony Melton,Delon Wright,Jayson Tatum,Bruno Caboclo,Pascal Siakam,Fred VanVleet,Christian Wood,Luka Doncic,20191201,387.5,365.5
Ricky Rubio,Joe Ingles,Solomon Hill,Eric Paschall,Al Horford,Ben Simmons,Domantas Sabonis,Rudy Gobert,20191202,346.5,340.5
DJ Augustin,Jimmy Butler,PJ Tucker,Patrick Patterson,Clint Capela,Isaiah Thomas,Paul Millsap,James Harden,20191203,382.25,376.75
Rajon Rondo,CJ McCollum,Taurean Prince,Aaron Gordon,Dwight Powell,Devonte Graham,Jimmy Butler,Hassan Whiteside,20191204,417.5,404.75
Ricky Rubio,Fred VanVleet,Ben McLemore,Tobias Harris,Joel Embiid,Devin Booker,PJ Tucker,Mason Plumlee,20191205,393.5,381.25
Jeff Teague,Tyler Herro,Cedi Osman,Harrison Barnes,Andre Drummond,Jimmy Butler,Davis Bertans,Nikola Jokic,20191206,401.5,363.5
Trey Burke,Devin Booker,Joe Ingles,Kyle OQuinn,Domantas Sabonis,Ben Simmons,Dario Saric,Russell Westbrook,20191207,378.5,364.25
Alex Caruso,Troy Brown Jr,OG Anunoby,Nemanja Bjelica,Nerlens Noel,LeBron James,Kawhi Leonard,Anthony Davis,20191208,400.0,383.75
Cory Joseph,Mikal Bridges,PJ Tucker,Paul George,Domantas Sabonis,Patrick Beverley,Giannis Antetokounmpo,Marc Gasol,20191209,373.25,342.0
Devonte Graham,Terry Rozier,Tobias Harris,DeAndre Hunter,Rui Hachimura,Will Barton,Davis Bertans,Bismack Biyombo,20191210,347.25,344.0
Jeff Teague,James Harden,Thaddeus Young,Julius Randle,Frank Kaminsky,Kemba Walker,Ersan Ilyasova,Marcus Morris,20191211,425.0,383.0
Seth Curry,Collin Sexton,Jordan Clarkson,Jerami Grant,Hassan Whiteside,Luka Doncic,Kevin Love,Tobias Harris,20191212,400.5,387.0
Elfrid Payton,Buddy Hield,Jae Crowder,Marquese Chriss,JaVale McGee,James Harden,Paul George,Alex Len,20191213,391.25,363.0
Chris Clemons,Bruce Brown,Dillon Brooks,Montrezl Harrell,Marc Gasol,Bradley Beal,Pascal Siakam,Nikola Jokic,20191214,403.5,398.5
Elfrid Payton,Frank Ntilikina,Bogdan Bogdanovic,Jonathan Isaac,Myles Turner,Jrue Holiday,LeBron James,Nikola Jokic,20191215,369.75,349.25
Darius Garland,Seth Curry,Norman Powell,Carmelo Anthony,Kristaps Porzingis,Bruce Brown,Giannis Antetokounmpo,Chris Paul,20191216,401.75,385.25
Malik Monk,Spencer Dinwiddie,Kevin Huerter,Bojan Bogdanovic,Domantas Sabonis,Trae Young,Joe Harris,Mitchell Robinson,20191217,363.75,345.5
Kyle Lowry,Terry Rozier,OG Anunoby,Paul Millsap,Serge Ibaka,Damian Lillard,Kevin Love,Lauri Markkanen,20191218,388.5,380.75
Derrick White,Danny Green,Jabari Parker,LaMarcus Aldridge,Jarrett Allen,Patty Mills,Paul George,Anthony Davis,20191219,359.75,358.5
Alec Burks,Jamal Murray,Damion Lee,Bobby Portis,Nikola Vucevic,CJ McCollum,Jordan Clarkson,Bradley Beal,20191220,383.0,364.0
Shabazz Napier,Bradley Beal,Kevin Knox,Richaun Holmes,DeAndre Jordan,Trae Young,Garrett Temple,Hassan Whiteside,20191221,394.0,369.75
Dennis Schroder,Shai Gilgeous-Alexander,Landry Shamet,Jayson Tatum,Steven Adams,Devonte Graham,Domantas Sabonis,Gary Harris,20191222,382.5,364.75
Alec Burks,Troy Brown Jr,Tobias Harris,Trey Lyles,Julius Randle,Ben Simmons,DeMar DeRozan,LaMarcus Aldridge,20191223,420.0,373.0
Ben Simmons,Furkan Korkmaz,Khris Middleton,Kyle Kuzma,Derrick Favors,Damion Lee,Brandon Ingram,Kawhi Leonard,20191225,379.0,366.25
Delon Wright,Donovan Mitchell,Rudy Gay,Julius Randle,Gorgui Dieng,Damian Lillard,Joe Ingles,Chris Paul,20191226,367.5,358.75
Devin Booker,Allen Crabbe,Evan Fournier,Ersan Ilyasova,Bam Adebayo,DAngelo Russell,Tobias Harris,Nikola Vucevic,20191227,340.75,338.0
Patrick McCaw,James Harden,Kelan Martin,Noah Vonleh,Ersan Ilyasova,Luka Doncic,Jonathan Isaac,Julius Randle,20191228,411.25,383.75
Lonzo Ball,Buddy Hield,Brandon Ingram,Isaiah Hartenstein,Anthony Davis,ETwaun Moore,Nemanja Bjelica,Jrue Holiday,20191229,354.5,348.0
Brandon Goodwin,Jordan McRae,Garrison Mathews,Giannis Antetokounmpo,Ian Mahinmi,Spencer Dinwiddie,Khris Middleton,Hassan Whiteside,20191230,368.75,364.5
Monte Morris,Alec Burks,Miles Bridges,Maxi Kleber,Domantas Sabonis,Kemba Walker,Gordon Hayward,Luka Doncic,20191231,354.75,345.25
Frank Ntilikina,Markelle Fultz,Kyle Kuzma,Giannis Antetokounmpo,Julius Randle,DJ Augustin,LeBron James,Avery Bradley,20200101,364.5,355.5
Terry Rozier,Jeremy Lamb,JaMychal Green,Robert Covington,Wendell Carter Jr,Shai Gilgeous-Alexander,Domantas Sabonis,DeAaron Fox,20200102,365.0,338.0
Marcus Smart,Jordan McRae,Danny Green,Daniel Theis,Aron Baynes,James Harden,Ben Simmons,Clint Capela,20200103,435.5,435.5
Lonzo Ball,Jamal Murray,Troy Brown Jr,Jae Crowder,Omari Spellman,Fred VanVleet,Alec Burks,Trae Young,20200104,427.25,399.25
Dante Exum,Devin Booker,Mikal Bridges,Meyers Leonard,Gorgui Dieng,Goran Dragic,Anthony Davis,Damian Lillard,20200105,387.25,380.25
Will Barton,Markelle Fultz,Trevor Ariza,Thaddeus Young,Daniel Gafford,Luka Doncic,TJ Warren,Nikola Jokic,20200106,382.25,355.5
Jarrett Culver,Tony Snell,Trevor Ariza,Jae Crowder,Hassan Whiteside,Devin Booker,Carmelo Anthony,Andre Drummond,20200107,347.25,336.5
Terence Davis,James Harden,Kris Dunn,Khem Birch,Jaxson Hayes,Trae Young,Bobby Portis,Clint Capela,20200108,422.5,387.0
Chris Paul,Collin Sexton,Josh Richardson,Jayson Tatum,Al Horford,Marcus Smart,Danilo Gallinari,Tristan Thompson,20200109,352.25,344.5
Spencer Dinwiddie,Patrick Beverley,Sterling Brown,Kawhi Leonard,Jaxson Hayes,Ja Morant,DeMar DeRozan,Myles Turner,20200110,418.5,391.0
Rajon Rondo,Zach LaVine,Kyle Kuzma,Carmelo Anthony,Christian Wood,Eric Bledsoe,Jayson Tatum,Kevin Love,20200111,374.75,374.75
DAngelo Russell,Dwayne Bacon,Jimmy Butler,Serge Ibaka,Ian Mahinmi,Joe Ingles,Julius Randle,Jonas Valanciunas,20200112,368.75,365.5
DeAaron Fox,CJ McCollum,Ben Simmons,PJ Washington,Nikola Vucevic,Shai Gilgeous-Alexander,Nemanja Bjelica,Jahlil Okafor,20200113,431.25,416.0
