PG,SG,SF,PF,C,G,F,UTIL,Date,Score,Genetic
Patrick Beverley,Josh Hart,Kawhi Leonard,Brandon Ingram,Montrezl Harrell,Danny Green,Nicolo Melli,Anthony Davis,20191022,304.0,307.75
Devonte Graham,Luke Kennard,Justise Winslow,Domantas Sabonis,Myles Turner,Donovan Mitchell,Lauri Markkanen,Andre Drummond,20191023,420.0,410.75
George Hill,James Harden,Giannis Antetokounmpo,Patrick Patterson,Ivica Zubac,Trae Young,Ersan Ilyasova,Andre Drummond,20191024,348.75,360.25
Allonzo Trier,Jaylen Brown,Jayson Tatum,Frank Kaminsky,Karl-Anthony Towns,Shai Gilgeous-Alexander,Thomas Bryant,Zach LaVine,20191025,408.25,375.25
Derrick Rose,Malcolm Brogdon,OG Anunoby,Frank Kaminsky,Kevin Love,Trae Young,Brandon Ingram,Tristan Thompson,20191026,410.25,386.25
Quinn Cook,CJ McCollum,Duncan Robinson,Kristaps Porzingis,Cody Zeller,Kyrie Irving,Rodney Hood,Luka Doncic,20191027,381.25,377.0
Dennis Schroder,Damion Lee,Brandon Ingram,Richaun Holmes,Bobby Portis,Damian Lillard,Draymond Green,Joel Embiid,20191028,416.75,380.25
Goran Dragic,Jalen Brunson,Will Barton,Paul Millsap,Bam Adebayo,Tyler Herro,John Collins,Anthony Davis,20191029,341.0,329.75
Malcolm Brogdon,Bradley Beal,JaMychal Green,Dario Saric,Nerlens Noel,James Harden,Kevin Love,Aron Baynes,20191030,443.25,425.25
Derrick White,DeAndre Bembry,Jabari Parker,Meyers Leonard,Jahlil Okafor,Jimmy Butler,DeMar DeRozan,Kawhi Leonard,20191031,342.5,345.0
Patty Mills,Jeremy Lamb,Garrett Temple,Marcus Morris,Andre Drummond,Kemba Walker,Taurean Prince,LeBron James,20191101,435.25,394.75
Jeff Teague,Bruce Brown,Dwayne Bacon,Gorgui Dieng,Brandon Clarke,Kyle Lowry,Giannis Antetokounmpo,Andre Drummond,20191102,408.0,398.25
Dejounte Murray,Duncan Robinson,Marcus Morris,Meyers Leonard,Dwight Howard,Donovan Mitchell,LeBron James,Luka Doncic,20191103,389.25,364.75
Ky Bowman,Donte DiVincenzo,Bruce Brown,Eric Paschall,Al Horford,Kyrie Irving,Brandon Ingram,James Harden,20191104,407.25,403.5
Quinn Cook,Zach LaVine,Will Barton,TJ Warren,Jerami Grant,Trae Young,Gordon Hayward,LeBron James,20191105,382.75,361.5
Michael Carter-Williams,Alec Burks,Doug McDermott,Jonathan Isaac,Montrezl Harrell,Tomas Satoransky,Giannis Antetokounmpo,James Harden,20191106,440.0,422.0
Goran Dragic,Devonte Graham,Kawhi Leonard,Miles Bridges,Ivica Zubac,Dejounte Murray,LaMarcus Aldridge,Hassan Whiteside,20191107,355.75,333.25
