PG,SG,SF,PF,C,G,F,UTIL,Date,Salary,FPTS
Patrick Beverley,Danny Green,Maurice Harkless,Brandon Ingram,Anthony Davis,Josh Hart,Kawhi Leonard,Montrezl Harrell,20191022,48900,307.75
Donovan Mitchell,Devonte Graham,Torrey Craig,Treveon Graham,Karl-Anthony Towns,Justise Winslow,Lauri Markkanen,Andre Drummond,20191023,49500,410.75
Trae Young,Glenn Robinson III,Giannis Antetokounmpo,Ersan Ilyasova,Ivica Zubac,Russell Westbrook,PJ Tucker,Andre Drummond,20191024,49900,360.25
Coby White,Luka Doncic,Josh Hart,Jae Crowder,Karl-Anthony Towns,Kyle Lowry,Frank Kaminsky,Thomas Bryant,20191025,49400,375.25
Russell Westbrook,Derrick Rose,Bojan Bogdanovic,Brandon Ingram,Al Horford,Dejounte Murray,Markieff Morris,Malcolm Brogdon,20191026,48600,386.25
Kyrie Irving,Kendrick Nunn,Rodney Hood,Kristaps Porzingis,Cody Zeller,Luka Doncic,Duncan Robinson,Dwight Howard,20191027,49000,377.0
Stephen Curry,Devonte Graham,Kenrich Williams,Jonathan Isaac,Joel Embiid,Damion Lee,Kawhi Leonard,Dennis Schroder,20191028,49100,380.25
Jalen Brunson,Tyler Herro,Will Barton,John Collins,Anthony Davis,Gary Harris,Meyers Leonard,Bam Adebayo,20191029,46700,329.75
Damian Lillard,James Harden,Gordon Hayward,Dario Saric,Richaun Holmes,Malcolm Brogdon,JaMychal Green,Aron Baynes,20191030,49400,425.25
DeAndre Bembry,Kendrick Nunn,Jabari Parker,Kawhi Leonard,Jahlil Okafor,Derrick White,Jimmy Butler,Jrue Holiday,20191031,48900,345.0
Derrick Rose,Jeremy Lamb,LeBron James,Marcus Morris,Tristan Thompson,Kemba Walker,Taurean Prince,Garrett Temple,20191101,49200,394.75
Jeff Teague,Dwayne Bacon,Bruce Brown,Kyle OQuinn,Gorgui Dieng,Damian Lillard,Giannis Antetokounmpo,Andre Drummond,20191102,49600,398.25
Luka Doncic,Brandon Knight,Duncan Robinson,Marcus Morris,Kevin Love,LeBron James,Jimmy Butler,James Johnson,20191103,50000,364.75
Damian Lillard,James Harden,Eric Paschall,Brandon Ingram,Al Horford,Bruce Brown,Troy Brown Jr,Jarrett Allen,20191104,50000,403.5
LeBron James,Zach LaVine,TJ Warren,Jabari Parker,Goga Bitadze,Chris Paul,Gordon Hayward,Coby White,20191105,49100,361.5
Alec Burks,Patrick Beverley,Tomas Satoransky,Jonathan Isaac,Montrezl Harrell,CJ Miles,Giannis Antetokounmpo,Joel Embiid,20191106,49600,422.0
Goran Dragic,Jimmy Butler,Gordon Hayward,Danilo Gallinari,Ivica Zubac,Brad Wanamaker,Kawhi Leonard,Dejounte Murray,20191107,49000,333.25
Frank Ntilikina,Jamal Murray,Evan Fournier,Kristaps Porzingis,Nikola Vucevic,Kevin Huerter,Rui Hachimura,Luka Doncic,20191108,49400,384.5
Devonte Graham,James Harden,Jae Crowder,Wendell Carter Jr,Clint Capela,Marko Guduric,JJ Redick,Alec Burks,20191109,48000,363.0
Dennis Schroder,Collin Sexton,Jabari Parker,Domantas Sabonis,Mike Muscala,Fred VanVleet,Giannis Antetokounmpo,David Nwaba,20191110,49900,354.25
DAngelo Russell,Donovan Mitchell,Andrew Wiggins,Derrick Favors,Jahlil Okafor,Dillon Brooks,Jaylen Brown,Jrue Holiday,20191111,50000,337.25
LeBron James,Bogdan Bogdanovic,Kyle Kuzma,Nemanja Bjelica,DeAndre Jordan,Trae Young,TJ Warren,Coby White,20191112,49200,366.25
Fred VanVleet,Bradley Beal,Aaron Gordon,Pascal Siakam,JaVale McGee,Ja Morant,JaMychal Green,Miles Bridges,20191113,49000,390.0
Zach LaVine,Coby White,Kenrich Williams,Giannis Antetokounmpo,Alex Len,Jrue Holiday,Derrick Favors,Cameron Johnson,20191114,49400,371.5
James Harden,Bradley Beal,Dillon Brooks,Kyle Anderson,Rudy Gobert,Langston Galloway,Moritz Wagner,Al-Farouq Aminu,20191115,49700,385.75
Aaron Holiday,Jimmy Butler,Jake Layman,Paul George,Bam Adebayo,CJ McCollum,LaMarcus Aldridge,ETwaun Moore,20191116,49800,363.0
