SG,G,PF,SF,F,UTIL,PG,C,Date,Predicted,Actual
Luka Doncic,Damian Lillard,Kristaps Porzingis,Ben Simmons,Justise Winslow,Treveon Graham,Jordan McRae,Skal Labissiere,20191023,238.64913405400907,295.25
James Harden,Stephen Curry,Giannis Antetokounmpo,Khris Middleton,Luke Kennard,Bruno Fernando,Tim Frazier,Mfiondu Kabengele,20191024,238.68507766039554,240.5
Luka Doncic,LeBron James,Anthony Davis,Brandon Ingram,Marcus Morris,Troy Daniels,Cody Martin,Bismack Biyombo,20191025,238.65606337021418,282.25
James Harden,Russell Westbrook,Kawhi Leonard,Ben Simmons,PJ Tucker,Georges Niang,Tim Frazier,Chris Boucher,20191026,238.71116970036178,286.5
Luka Doncic,LeBron James,Anthony Davis,Justise Winslow,Kentavious Caldwell-Pope,Shabazz Napier,Cody Martin,Skal Labissiere,20191027,238.69006383429172,264.25
James Harden,Stephen Curry,Giannis Antetokounmpo,Brandon Ingram,Mario Hezonja,Damion Lee,Shake Milton,Damian Jones,20191028,238.72744672646297,287.75
Luka Doncic,LeBron James,Anthony Davis,Jimmy Butler,Maxi Kleber,Grayson Allen,DeAnthony Melton,Damian Jones,20191029,238.6939931122835,240.75
James Harden,Russell Westbrook,Giannis Antetokounmpo,Khris Middleton,Davis Bertans,Furkan Korkmaz,Ky Bowman,Chris Boucher,20191030,238.72047781098485,303.5
James Harden,LeBron James,Giannis Antetokounmpo,Gordon Hayward,Garrett Temple,Donte DiVincenzo,Brad Wanamaker,Amile Jefferson,20191101,238.76746943910535,330.5
Bradley Beal,Kyrie Irving,Giannis Antetokounmpo,Tobias Harris,Kent Bazemore,Gorgui Dieng,Donte DiVincenzo,Skal Labissiere,20191102,238.6985344028986,308.75
James Harden,LeBron James,Anthony Davis,DeMar DeRozan,Trevor Ariza,James Johnson,Chris Clemons,Tony Bradley,20191103,238.74137590149437,265.0
James Harden,Kyrie Irving,Giannis Antetokounmpo,Caris LeVert,Moritz Wagner,Donte DiVincenzo,Raul Neto,Bruno Caboclo,20191104,238.75382525485986,328.25
Malcolm Brogdon,LeBron James,Anthony Davis,Jimmy Butler,Kyle Kuzma,Damian Jones,Alex Caruso,Chris Silva,20191105,238.61926038659743,248.5
James Harden,Luka Doncic,Giannis Antetokounmpo,Bruce Brown,JaKarr Sampson,Raul Neto,Jordan McLaughlin,Taj Gibson,20191106,238.77807820225283,303.25
Devin Booker,Kemba Walker,Kawhi Leonard,Jayson Tatum,PJ Washington,Javonte Green,Elie Okobo,Vincent Poirier,20191107,238.61086281531806,205.25
