PF,SF,F,UTIL,SG,G,C,PG,Date,Predicted,Actual
Anthony Davis,Kentavious Caldwell-Pope,Kawhi Leonard,Jrue Holiday,Josh Hart,Frank Jackson,JaVale McGee,Nickeil Alexander-Walker,20191022,219.71241922399952,205.25
Kristaps Porzingis,Semi Ojeleye,Bogdan Bogdanovic,Joel Embiid,Gary Harris,Garrison Mathews,Karl-Anthony Towns,Yogi Ferrell,20191023,231.09042665283363,180.0
Giannis Antetokounmpo,Terance Mann,Kawhi Leonard,James Harden,Jordan Poole,Damion Lee,Brook Lopez,Ky Bowman,20191024,230.38626985429013,212.25
Anthony Davis,LeBron James,Michael Kidd-Gilchrist,Justin James,JJ Redick,Nigel Williams-Goss,Karl-Anthony Towns,Cody Martin,20191025,230.21935566076942,218.75
Pascal Siakam,Kawhi Leonard,John Collins,James Harden,Brad Wanamaker,Denzel Valentine,Damian Jones,Shaquille Harrison,20191026,230.51022373229506,194.0
Anthony Davis,LeBron James,David Nwaba,Karl-Anthony Towns,Garrett Temple,Quinn Cook,Skal Labissiere,Jalen Brunson,20191027,231.67938960450545,222.0
Kawhi Leonard,Giannis Antetokounmpo,Tyler Cook,Mfiondu Kabengele,James Harden,Furkan Korkmaz,Chris Boucher,Coby White,20191028,229.33695892816775,182.0
Anthony Davis,Jared Dudley,LeBron James,Nikola Jokic,Gary Harris,Seth Curry,Bruno Caboclo,DeAnthony Melton,20191029,229.2767453723602,218.0
Giannis Antetokounmpo,Theo Pinson,Furkan Korkmaz,Joel Embiid,James Harden,Damion Lee,Jonah Bolden,Markelle Fultz,20191030,228.61111700438465,212.75
Kawhi Leonard,Jarred Vanderbilt,Montrezl Harrell,Nikola Jokic,Jrue Holiday,Duncan Robinson,Chris Silva,Monte Morris,20191031,228.3577038445753,219.75
Anthony Davis,Giannis Antetokounmpo,LeBron James,Aaron Holiday,Brad Wanamaker,Troy Daniels,Vincent Poirier,George Hill,20191101,232.55773529865263,244.5
Rui Hachimura,Giannis Antetokounmpo,Gorgui Dieng,Nikola Jokic,Kyle Korver,Raul Neto,Bismack Biyombo,DJ Augustin,20191102,211.30308636021184,186.5
Anthony Davis,Kawhi Leonard,Wenyen Gabriel,Caleb Swanigan,Yogi Ferrell,James Harden,Ryan Anderson,Jordan Clarkson,20191103,229.52668581113207,179.75
Rui Hachimura,Giannis Antetokounmpo,Furkan Korkmaz,CJ Miles,JJ Redick,Langston Galloway,DJ Wilson,James Harden,20191104,215.98942258291206,246.25
Anthony Davis,LeBron James,TJ Warren,Vince Carter,Matthew Dellavedova,Troy Daniels,Damian Jones,Trae Young,20191105,233.25253320362827,258.5
Georges Niang,Giannis Antetokounmpo,Chandler Hutchison,Jaylen Nowell,James Harden,Chris Clemons,Tyson Chandler,Trae Young,20191106,231.9642452487628,189.75
Trey Lyles,Kawhi Leonard,Cheick Diallo,Kemba Walker,Mikal Bridges,Damian Lillard,Patrick Patterson,Goran Dragic,20191107,226.45649318939476,207.75
Brandon Ingram,Giannis Antetokounmpo,LeBron James,Sterling Brown,Damion Lee,Tyrone Wallace,Chris Silva,DeAnthony Melton,20191108,234.99759033985387,183.25
Wendell Carter Jr,Brandon Ingram,Solomon Hill,Luka Doncic,James Harden,Chris Clemons,Luke Kornet,DeAnthony Melton,20191109,230.81669449651002,256.5
Anthony Davis,Giannis Antetokounmpo,LeBron James,Stanley Johnson,Donte DiVincenzo,Troy Daniels,Jonah Bolden,Alex Caruso,20191110,234.41933043535084,212.0
Pascal Siakam,Kawhi Leonard,Thon Maker,ETwaun Moore,James Harden,Javonte Green,Tyson Chandler,Derrick White,20191111,225.65662123557746,226.75
Anthony Davis,LeBron James,Nassir Little,Abdel Nader,Matthew Dellavedova,Damian Lillard,Chris Silva,Rajon Rondo,20191112,230.91732821541507,206.75
Marquese Chriss,LeBron James,Rodney McGruder,Terance Mann,James Harden,DAngelo Russell,Kyle OQuinn,Cody Martin,20191113,227.90858331206087,216.5
Nicolo Melli,Giannis Antetokounmpo,Allen Crabbe,Seth Curry,Luka Doncic,Trae Young,Cheick Diallo,Tyler Johnson,20191114,232.5222269706533,224.0
Jordan Bell,LeBron James,Gary Clark,DaQuan Jeffries,James Harden,DAngelo Russell,Isaiah Hartenstein,Cody Martin,20191115,227.8787155266965,191.5
Thanasis Antetokounmpo,Giannis Antetokounmpo,Evan Turner,Wayne Ellington,James Harden,Jimmy Butler,TJ Leaf,Seth Curry,20191116,233.10090721266,248.0
