Date,AvgFPTS
20191022,177.80125
20191023,162.00225
20191024,163.62575
20191025,157.67025
20191026,159.93375
20191027,179.02275
20191028,172.26475
20191029,165.20925
20191030,164.6015
20191031,167.545
20191101,176.69
20191102,176.6905
20191103,162.72025
20191104,176.903
20191105,169.63425
20191106,175.34425
20191107,155.04375
20191108,169.28175
20191109,179.7865
20191110,169.61875
20191111,174.9425
20191112,174.56375
20191113,180.07075
20191114,178.9445
20191115,173.3745
20191116,173.90925
20191117,168.7655
20191118,168.25775
20191119,191.6485
20191120,174.857
20191121,206.935
20191122,174.08425
20191123,172.89575
20191124,163.7375
20191125,172.34325
20191126,159.307
20191127,165.9835
20191129,167.9785
20191130,176.45525
20191201,167.20025
20191202,162.19425
20191203,177.52675
20191204,167.311
20191205,180.6365
20191206,161.87975
20191207,168.814
20191208,166.88325
20191209,167.987
20191210,160.07875
20191211,172.16275
20191212,181.69475
20191213,168.21125
20191214,174.6025
20191215,161.2765
20191216,189.14525
20191217,181.109
20191218,175.8175
20191219,167.476
20191220,164.75125
20191221,177.9435
20191222,158.7835
20191223,172.32
20191225,175.6875
20191226,154.821
20191227,174.796
20191228,166.50175
20191229,167.72025
20191230,153.511
20191231,160.7435
20200101,166.1755
20200102,172.72325
20200103,176.152
20200104,166.22
20200105,169.018
20200106,170.499
20200107,162.88325
20200108,170.48175
20200109,159.91125
20200110,165.89475
20200111,168.83825
20200112,168.1575
20200113,170.3255
20200114,163.268
20200115,176.9265
20200116,176.85125
20200117,179.18575
20200118,166.189
20200119,185.70975
20200120,167.38875
20200122,166.151
20200123,183.057
20200124,181.35375
20200125,170.708
20200126,176.518
20200127,170.84925
20200128,171.588
20200129,167.3605
20200130,184.07125
20200131,173.5805
20200201,171.711
20200202,176.72525
20200203,179.92
20200204,168.09825
20200205,177.57425
20200206,177.7575
20200207,180.28575
20200208,173.916
20200209,181.368
20200210,189.845
20200211,166.82675
20200212,182.642
20200213,178.99875
20200220,180.472
20200221,176.32275
20200222,169.526
20200223,168.011
20200224,168.776
20200225,177.38025
20200226,181.821
20200227,162.448
20200228,180.34575
20200229,180.495
20200301,180.95025
20200302,177.141
20200303,182.938
20200304,176.8425
20200305,175.47625
20200306,175.33175
20200307,174.19875
20200308,175.823
20200309,182.97525
20200310,179.987
20200311,189.282
20200730,155.328
20200731,180.664
20200801,149.50675
20200802,183.00775
20200803,173.478
20200804,180.8305
20200805,159.85775
20200806,175.47475
20200807,151.3465
20200808,196.4755
20200809,178.212
20200810,171.3385
20200811,173.20425
20200812,160.122
20200813,171.392
20200814,167.16375
20200817,171.7395
20200818,164.098
20200819,155.069
20200820,162.4035
20200821,153.546
20200822,181.46725
20200823,169.10175
20200824,168.66725
20200825,164.01125
20200829,168.374
20200830,159.142
20200831,175.52125
20200901,168.017
20200902,188.072
20200903,155.04575
20200904,152.6665
20200905,167.73975
20200906,182.8075
20200907,147.824
20200908,172.71775
20200909,162.2515
20200911,172.0365
20200915,142.4195
20200917,161.0915
20200918,138.114
20200919,184.82125
20200920,163.56325
20200922,179.357
20200923,179.7775
20200924,160.7895
20200925,194.89
20200926,174.67
20200927,196.48675
20201222,139.26575
20201223,175.9535
20201225,139.34425
20201226,176.71175
20201227,161.886
20201228,182.36925
20201229,159.94875
20201230,165.34925
20201231,157.4875
20210101,157.098
20210102,193.24925
20210103,162.819
20210104,159.53975
20210105,172.118
20210106,181.04275
20210107,165.64975
20210108,172.41025
20210109,179.9225
20210110,158.134
20210111,170.53375
20210112,177.29125
20210113,178.4475
20210114,180.398
20210115,167.3385
20210116,189.19225
20210117,163.55025
20210118,171.0815
20210119,142.795
20210120,172.35775
20210121,166.05225
20210122,169.40875
20210123,165.23025
20210124,175.04475
20210125,169.51025
20210126,157.4185
20210127,164.40425
20210128,159.15025
20210129,160.2125
20210130,161.926
20210131,161.25925
20210201,176.91
20210202,177.728
20210203,170.57175
20210204,157.53025
20210205,180.62925
20210206,186.266
20210207,165.75475
20210208,185.799
20210209,165.713
20210210,172.3405
20210211,170.864
20210212,167.4635
20210213,166.10475
20210214,177.703
20210215,198.14575
20210216,181.46475
20210217,180.47375
20210218,151.69225
20210219,161.567
20210220,162.60875
20210221,175.6885
20210222,165.3315
20210223,184.78675
20210224,159.311
20210225,159.507
20210226,179.68425
20210227,169.41875
20210228,162.28375
20210301,185.78525
20210302,160.834
20210303,193.56875
20210304,187.46975
20210310,165.918
20210311,172.7005
20210312,156.30675
20210313,162.6845
20210314,173.07825
20210315,161.1275
20210316,188.6375
20210317,172.285
20210318,169.365
20210319,178.5485
20210320,153.00475
20210321,163.199
20210322,174.36825
20210323,160.96525
20210324,164.4095
20210325,181.1045
20210326,171.9065
20210327,158.90475
20210328,168.41325
20210329,170.2345
20210330,171.2205
20210331,170.27025
20210401,168.25125
20210402,164.92125
20210403,168.86575
20210404,165.4135
20210405,184.99475
20210406,153.9445
20210407,172.78925
20210408,171.0085
20210409,182.13825
20210410,168.03625
20210411,171.47025
20210412,149.04625
20210413,169.726
20210414,169.6435
20210415,169.28
20210416,175.9625
20210417,155.692
20210418,187.339
20210419,159.63725
20210420,186.88625
20210421,166.11175
20210422,152.009
20210423,180.084
20210424,173.00925
20210425,176.278
20210426,159.4015
20210427,182.9325
20210428,160.348
20210429,178.20075
20210501,189.13875
20210502,174.15075
20210503,169.5745
20210504,185.8305
20210505,156.1335
20210506,172.356
20210507,173.898
20210508,166.27375
20210509,178.07975
20210510,189.24875
20210511,176.17125
20210512,167.3195
20210513,172.3175
20210514,177.833
20210515,174.3635
20210516,185.9025
20210518,137.9855
20210519,193.7805
20210522,181.3575
20210523,170.57875
20210524,127.72725
20210525,161.46425
20210526,155.71075
20210527,158.602
20210528,171.95925
20210529,141.75325
20210530,149.7315
20210531,184.2505
20210601,163.44825
20210602,158.6035
20210603,145.75775
20210606,174.69475
20210607,136.8415
20210608,156.691
20210610,174.28
20210611,127.71675
20210613,155.91325
20210614,161.83075
20210616,165.40025
20210618,167.7015
20210620,176.07975
20210622,159.664
20210623,195.4165
20210624,127.5995
20210625,118.63625
20210626,140.83925
20210627,187.40125
20210628,137.857
20210629,118.64125
20210630,139.92375
20210701,172.68375
